"Race","Academic Stage","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Black or African American","Population Average","0.117934701272937","0.118813930730062","0.119759319857444","0.120592114019948","0.121387596544544","0.122052922258698","0.122653530391907","0.123262662874338","0.123865012354502","0.124434543775074","0.124768479526495","0.12506060177678","0.125336392212347","0.125547083884811","0.125848101969794","0.126120617678061","0.126414324433476","0.126762095402685","0.127104570697072","0.127472112967824","0.127866090052677","0.128310152450689","0.128770552583096","0.129222269499885","0.129646840452356","0.1300666327729","0.130474666958914","0.130881679015262","0.131278919054819","0.13172028342242"
"Black or African American","Tenured","0.100287691764112","0.101435861780229","0.102655013746669","0.103711070437477","0.104904822632172","0.106023827616224","0.106944199154776","0.107975217159042","0.109031375434704","0.110078372487976","0.110967769070414","0.111846343211485","0.112511301540713","0.113098296584521","0.113598026128545","0.114198677630561","0.114849515407229","0.115526768183869","0.116225251010082","0.116857862658102","0.117456938637044","0.117960481309339","0.118597016559197","0.119335029132091","0.120031303678928","0.120704732386114","0.121276122018964","0.122157636290338","0.122790370573611","0.123378159798049"
"Black or African American","Assistant","0.110314083178119","0.111227761066765","0.112264085594123","0.113642553664503","0.114877623825538","0.116035901131874","0.117350391740497","0.119175621695614","0.120587249589211","0.121551863013757","0.122165986262039","0.122700149798195","0.123400018645602","0.12410585626077","0.12470621634599","0.125192433104736","0.125708835158451","0.126283032466171","0.126885890345181","0.127560679977194","0.128256644138687","0.128732007508056","0.129176612055494","0.129567412402743","0.129898693459308","0.130157491283276","0.130450322706626","0.131042875567372","0.131812206111953","0.133147102198887"
"Black or African American","Postdoc","0.115958288255134","0.117103996164038","0.11888306870364","0.120086909251509","0.120884313692402","0.121621465223502","0.122604256803914","0.12379233176935","0.125016604318168","0.125953287735348","0.126425900170571","0.126649637353139","0.126929772064737","0.127198336564446","0.127685694425974","0.128084255285061","0.128610384590904","0.129115157415505","0.129560938252409","0.130007749678441","0.130375329569609","0.130692938786958","0.131342003671002","0.132131241898433","0.133400508981354","0.134772360841803","0.136177678773317","0.13754341490553","0.13888690658059","0.140259920537186"
"Black or African American","Phd","0.119454771108776","0.120415994332408","0.121480783621178","0.122537770124418","0.123193025036035","0.123864756340518","0.124847743765405","0.125939880636124","0.127116074788841","0.127957228050225","0.128283599856275","0.128433200275364","0.128621880044119","0.128705492173806","0.129100954994167","0.129302616001718","0.129429257410931","0.129806780961477","0.130161480218513","0.130838087640965","0.131442857964038","0.131962595309109","0.13263265256176","0.133441034215474","0.134785780386818","0.136391261083702","0.138099436855299","0.139795520470355","0.141524326335065","0.143038795474596"
"Black or African American","Graduate","0.128102865200469","0.129464084497958","0.131152779451487","0.132547844447004","0.13353551259702","0.134056079294052","0.134240583496077","0.134824337072573","0.134957234315143","0.135712729749341","0.136102339431824","0.13623923580889","0.136249921504","0.135991486277068","0.13636796990635","0.136631306864744","0.136956107626702","0.137293015539841","0.137802590482491","0.138416809243954","0.139555820598716","0.142016526531498","0.144614032237317","0.147208662138436","0.149417050907088","0.15101124614467","0.152053352247242","0.152912712998011","0.153613468526821","0.1537224262059"
"Black or African American","Undergraduate","0.139040840687332","0.139846493760188","0.141260411016647","0.141992037742004","0.14344139978807","0.144643571346536","0.144904890519707","0.144690326815861","0.14414949311091","0.143782023548383","0.143585666177352","0.144108344521513","0.144719647105489","0.145505744131017","0.146589457947476","0.14779880370358","0.149090240362186","0.150257933475124","0.15141030412137","0.152232791422765","0.152944926534137","0.153993163353084","0.154829417806423","0.155419985910335","0.155301898512217","0.154852733746335","0.154003771046231","0.15292144886197","0.151488520201423","0.150313897437447"
"White","Population Average","0.756042162075779","0.751114938733665","0.74590682737344","0.740504599848011","0.735270484913755","0.730020854527239","0.72449103634285","0.71863641594344","0.712707330248746","0.70654386217256","0.699871110755429","0.69426043619383","0.688750453094003","0.68350246044461","0.678334389291003","0.672994290923063","0.667606591424962","0.662256819227896","0.656980470964031","0.651928422601434","0.647267999649271","0.643207955668473","0.639309432124597","0.635367279377693","0.631385100734585","0.627184037204304","0.623009723893764","0.619053714263883","0.615425087842586","0.612069723242926"
"White","Tenured","0.800037398092243","0.795519622020714","0.791019281188528","0.786469026690918","0.781860554677502","0.777097164314632","0.772278657561041","0.76746737240803","0.762241199577901","0.756965904123384","0.751013355510779","0.745538125562379","0.740336670186522","0.73511820946067","0.730099930823865","0.724701230049431","0.719300155114271","0.713704395766516","0.707848850547146","0.702124308483293","0.696594373093117","0.691256320695213","0.685828431894726","0.680059419302786","0.674559808830281","0.668883606972034","0.66349057493607","0.656897392463499","0.651134507290433","0.645791892959937"
"White","Assistant","0.770045383187449","0.765302660766041","0.760467755735065","0.754262459665099","0.748627616513294","0.742912605286518","0.736942678960886","0.7289754511855","0.72175974913042","0.714754042495466","0.707405714300081","0.700351897870106","0.692531613901836","0.68444905014172","0.67640067767247","0.668195669915667","0.659834202316625","0.651517429781081","0.643311192934428","0.635508970337223","0.628191929947351","0.621166682807396","0.614538497457178","0.608396989476952","0.602482308359541","0.596953110650177","0.591913320637969","0.587045390758343","0.582815803016282","0.578570853681343"
